,State_Name,Datacenter_Count,Industrial power price,Internet Speed,temperature,relative_humidity,densityMi,Renewable
0,ALABAMA,11.0,5.87,84.26,18.555555555555557,71.6,101.55066,9.0
1,ALASKA,,15.88,35.51,-2.000000000000001,77.1,1.28546,27.0
2,ARIZONA,66.0,6.07,81.22,16.0,38.5,65.99824,13.0
3,ARKANSAS,3.0,5.89,63.18,17.166666666666668,70.9,59.36504,7.0
4,CALIFORNIA,259.0,14.27,94.45,14.555555555555555,61.0,249.64706,36.0
5,COLORADO,52.0,7.48,86.05,7.722222222222222,54.1,57.06356,33.0
6,CONNECTICUT,18.0,13.07,119.13,11.222222222222223,69.2,748.791,2.0
7,DELAWARE,5.0,6.7,114.37,14.38888888888889,70.9,535.82401,2.0
8,FLORIDA,119.0,7.15,115.58,22.88888888888889,74.5,428.45559,4.0
9,GEORGIA,75.0,5.77,91.13,18.666666666666664,71.1,193.78756,7.0
10,HAWAII,7.0,24.45,91.55,25.27777777777778,73.3,222.77394,14.0
11,IDAHO,5.0,6.23,51.15,6.611111111111111,62.4,24.08499,69.0
12,ILLINOIS,123.0,6.7,86.49,12.666666666666664,70.9,225.45188,11.0
13,INDIANA,35.0,6.98,85.86,12.444444444444445,72.0,192.37771,10.0
14,IOWA,26.0,6.43,62.12,10.277777777777779,72.4,57.54543,59.0
15,KANSAS,14.0,7.3,79.56,13.499999999999998,65.7,36.01287,46.0
16,KENTUCKY,19.0,5.31,84.85,14.5,70.3,114.99633,7.0
17,LOUISIANA,12.0,4.88,67.02,20.944444444444443,74.0,105.53363,2.0
18,MAINE,4.0,8.86,75.95,6.888888888888888,71.7,45.45946,56.0
19,MARYLAND,31.0,7.81,107.63,14.055555555555554,68.8,638.35634,9.0
20,MASSACHUSETTS,50.0,14.51,109.6,10.722222222222221,71.1,900.00744,15.0
21,MICHIGAN,50.0,7.24,86.39,8.555555555555555,72.1,177.59849,8.0
22,MINNESOTA,43.0,7.67,79.1,6.555555555555554,70.4,72.35649,26.0
23,MISSISSIPPI,3.0,5.63,69.49,19.27777777777778,73.6,62.66547,1.0
24,MISSOURI,38.0,6.84,71.92,14.11111111111111,69.2,90.41262,11.0
25,MONTANA,3.0,5.18,46.84,6.611111111111111,60.4,7.85144,51.0
26,NEBRASKA,17.0,7.38,73.49,10.222222222222221,65.8,25.88642,29.0
27,NEVADA,31.0,5.61,90.28,10.0,38.3,29.24851,22.0
28,NEW HAMPSHIRE,7.0,13.11,113.63,8.222222222222221,70.4,156.94237,9.0
29,NEW JERSEY,69.0,10.01,118.57,13.0,68.5,1267.45513,2.0
30,NEW MEXICO,10.0,5.58,59.13,12.944444444444443,45.9,17.43859,36.0
31,NEW YORK,128.0,5.54,91.47,9.000000000000002,70.7,413.13143,28.0
32,NORTH CAROLINA,56.0,6.31,83.74,15.944444444444445,70.6,225.73979,13.0
33,NORTH DAKOTA,2.0,7.26,88.51,5.611111111111112,70.9,11.43375,39.0
34,OHIO,150.0,6.16,85.13,11.944444444444445,71.5,289.08184,3.0
35,OKLAHOMA,23.0,4.61,71.23,16.555555555555557,64.0,59.60168,44.0
36,OREGON,106.0,5.7,85.45,8.944444444444445,68.6,44.04027,64.0
37,PENNSYLVANIA,64.0,6.16,89.43,10.833333333333334,69.6,289.45925,3.0
38,RHODE ISLAND,5.0,15.76,91.02,11.500000000000002,71.4,1061.97485,5.0
39,SOUTH CAROLINA,14.0,5.98,110.31,17.944444444444443,69.1,181.7689,5.0
40,SOUTH DAKOTA,3.0,7.79,81.36,8.222222222222221,66.4,12.25108,83.0
41,TENNESSEE,41.0,5.33,95.88,15.555555555555555,69.4,174.706,15.0
42,TEXAS,241.0,5.07,93.12,20.055555555555554,64.9,118.57948,26.0
43,UTAH,29.0,5.9,95.56,9.166666666666666,51.7,42.03763,11.0
44,VERMONT,3.0,11.2,60.81,7.666666666666665,71.7,70.28513,76.0
45,VIRGINIA,311.0,6.28,97.95,14.11111111111111,68.7,221.63325,5.0
46,WASHINGTON,84.0,5.08,86.61,9.11111111111111,71.4,117.9921,74.0
47,WEST VIRGINIA,2.0,6.09,45.87,12.166666666666666,69.7,73.47146,4.0
48,WISCONSIN,35.0,7.29,72.76,7.944444444444443,71.6,109.51968,6.0
49,WYOMING,9.0,6.88,61.24,5.555555555555555,57.1,6.04045,22.0
